id,created_at,text,geo,coordinates,retweet_count,favorite_count
1208102423828533249,Fri Dec 20 19:10:37 +0000 2019,"@VDalingtone How do you believe I obtained the images, zombie? One does not not have to be physical in a place to a… https://t.co/TihextvkMw",,,0,4
1208102042360778753,Fri Dec 20 19:09:07 +0000 2019,@VDalingtone Publish the images of the tarmacked portions of the road at the Luhano Market area. Shouting foolishne… https://t.co/FMTcegN2z0,,,1,11
1208098889976500225,Fri Dec 20 18:56:35 +0000 2019,"@tibermosh These are all LEGAL DOCUMENTS, zombie:

1) Kenyan National ID card.

2. Birth Certificate.

3. Driver's… https://t.co/kmRh4gXwtx",,,0,6
1208093731469111298,Fri Dec 20 18:36:05 +0000 2019,"@KipronoElly Thanks, comrade. MOBILIZE. Cheers.",,,0,11
1208091819868872705,Fri Dec 20 18:28:29 +0000 2019,@clarenc_roymate @RabbitTheKing Why are you waiting for 2022? To give Despot Kenyatta another chance to colonize th… https://t.co/0A16wv1uY7,,,0,33
1208090676342272000,Fri Dec 20 18:23:57 +0000 2019,"@AndrewJFrankli1 @BenjiNdolo I'm going to block you, Andrew. I've found you to be most dishonest.",,,2,31
1208088239682342917,Fri Dec 20 18:14:16 +0000 2019,"@IamSamiSamuel @HusseinMohamedg Kipchoge is a runner. Has nothing to do with the substance of my Tweet, zombie.",,,1,14
1208085016254844933,Fri Dec 20 18:01:27 +0000 2019,@IamSamiSamuel Hussein Mohamed is better than those useless despotic pins. He should not celebrate rubbish. @HusseinMohamedg,,,2,19
1208082822331863041,Fri Dec 20 17:52:44 +0000 2019,The Great Freedom Fighter Frederick Douglass said this in the 1880s - more than 130 years ago. These IMMORTAL WORDS… https://t.co/FSJDnZZ8SA,,,83,313
1208077030862049280,Fri Dec 20 17:29:43 +0000 2019,Mr. Ahmednasir Abdulahi is a disgrace to the legal profession. He is an advocate for the Looting Mistress Anne Waig… https://t.co/18LGZltsNe,,,145,1135
1208030742376337409,Fri Dec 20 14:25:47 +0000 2019,"@CorRoest You don't need to understand ""my"" situation. You need to clean up your muddled mind. There are 15 court o… https://t.co/FeGu9DyNO1",,,1,6
1208030169748910080,Fri Dec 20 14:23:31 +0000 2019,"@SangKNelson Thanks, comrade. See you! Viva!",,,0,20
1208029423494205441,Fri Dec 20 14:20:33 +0000 2019,"Thank you, comrade. See you on January 7, 2020. Kenyan citizens don't need permission to enter, reside in or leave… https://t.co/IV77ADgZSc",,,306,1814
1208027964568473601,Fri Dec 20 14:14:45 +0000 2019,"Thank you, Patriot Julius Abungana. The despots, their conmen and desperate mediocre sycophants are trembling in fe… https://t.co/lhdg0wnMKC",,,76,440
1208023510238543873,Fri Dec 20 13:57:03 +0000 2019,"Justice Chacha Mwita's Judgment dated December 14, 2018 addressed all the issues the despots and their hypnotic zom… https://t.co/KndhkIO4RJ",,,27,209
1208022948034043905,Fri Dec 20 13:54:49 +0000 2019,"@CorRoest This is the Judgment issued on December 14, 2018. Read and comprehend it if you are literate.

https://t.co/cJqGgfJsae",,,1,5
1208022498710827009,Fri Dec 20 13:53:02 +0000 2019,@CorRoest No. Only courts of law determine such issues including your stupidity. The courts already did. The issue… https://t.co/VfICxsPw8I,,,1,3
1208021525686870018,Fri Dec 20 13:49:10 +0000 2019,"@HouseOfMamai @chrisjabush It is! My Tweet states that the ""tarmacked"" road has been washed away! An example of… https://t.co/pPdm8suRCn",,,0,5
1208018336988184576,Fri Dec 20 13:36:30 +0000 2019,"Despot Uhuru Kenyatta ILLEGALLY took my valid Kenyan Passport on Feb. 6, 2018. The High Court has ORDERED him to re… https://t.co/2Zl3RYjePs",,,205,1677
1208017461309771776,Fri Dec 20 13:33:01 +0000 2019,"@GachugiChege My valid Kenyan passport was illegally taken by Despot Uhuru Kenyatta on February 6, 2018, zombie. Th… https://t.co/rf5YCT1h5c",,,0,3
1208015429844840455,Fri Dec 20 13:24:56 +0000 2019,"@Bichage_James Justice Chacha Mwita already explained it comprehensively on December 14, 2018. Why are some of you… https://t.co/VPPRkssvog",,,0,17
1208014768604434435,Fri Dec 20 13:22:19 +0000 2019,@mwendwagitaari And when did you change it to? Wacha ujinga!,,,3,34
1208012485355343872,Fri Dec 20 13:13:14 +0000 2019,@Yosua13412454 @citizentvkenya When were you appointed a High Judge? When did you preside over the matter? The case… https://t.co/m6Y8nebhqO,,,0,6
1208011883149742085,Fri Dec 20 13:10:51 +0000 2019,@BaskiloBaskela You have had one million sparks. Stop repeating that empty propaganda. Act. Mobilize.,,,3,19
1208010862843375616,Fri Dec 20 13:06:48 +0000 2019,"Luhano Market woke up today to a washed-up ""tarmacked"" Ugunja-Rwamba Road in Siaya. This was supposedly a ""complete… https://t.co/5GDk4nZ56b",,,54,294
1207845857598562305,Fri Dec 20 02:11:07 +0000 2019,"@katibainstitute @MutemiWaKiama @MUHURIkenya @ICJKenya @gakii_nkonge Extremely important questions. And, of course,… https://t.co/TmXUfoXsul",,,4,22
1207840229635309568,Fri Dec 20 01:48:45 +0000 2019,@MunyiKariithi @EngineerRatemo Zombies are so hypnotized by their ujinga that they would never understand why they… https://t.co/7CTkI8G9qJ,,,1,10
1207839114659282944,Fri Dec 20 01:44:20 +0000 2019,@ogollaokumu1 How would I have control over water I shower with or vehicle I use when I am not in Kenya and I do no… https://t.co/Na4zmU7mTP,,,6,75
